time,open,close,high,low,volume
2019-04-17 13:30:00,30.0,28.0,30.0,28.0,0.21862355
2019-04-17 13:35:00,27.0,24.0,27.0,13.0,0.020998
2019-04-17 13:40:00,13.4,13.4,13.4,13.4,0.001998
2019-04-17 13:45:00,22.0,22.0,22.0,22.0,0.002
2019-04-17 16:05:00,19.7,20.0,20.0,19.7,8.33366999
2019-04-17 19:45:00,16.501,16.501,19.9,16.501,0.006
2019-04-17 23:05:00,19.7,20.0,20.0,19.7,24.46111854
2019-04-18 07:15:00,14.3,14.3,14.3,14.3,0.001998
2019-04-18 17:25:00,17.5,17.5,17.5,17.5,4.18759413
2019-04-18 17:30:00,17.5,17.5,17.5,17.5,0.81240587
2019-04-18 18:10:00,17.5,17.5,17.5,17.5,5.0
2019-04-18 18:25:00,17.4,17.4,17.4,17.4,2.5
2019-04-18 18:40:00,17.4,17.4,17.4,17.4,0.46686236000000003
2019-04-18 18:50:00,17.318,17.38,17.38,17.318,1.10976357
2019-04-18 18:55:00,17.37,17.37,17.37,17.37,0.92337407
2019-04-18 19:00:00,17.37,17.358,17.37,17.358,2.0
2019-04-19 00:40:00,19.2,19.2,19.2,19.2,0.476
2019-04-19 01:15:00,19.2,20.4,20.4,19.2,0.225994
2019-04-19 15:35:00,18.89,19.241,19.241,18.89,3.8394163100000003
2019-04-19 16:20:00,15.082,15.082,15.082,15.082,0.61327035
2019-04-20 01:00:00,19.2,20.0,20.0,19.2,1.1333157699999998
2019-04-20 02:15:00,15.002,15.002,15.002,15.002,1.049374
2019-04-21 13:30:00,15.0,15.0,15.0,15.0,3.83183748
2019-04-22 12:45:00,17.0,16.518,17.0,16.518,4.84238536
2019-04-22 12:50:00,16.518,16.518,16.518,16.518,2.63571699
2019-05-04 02:25:00,16.0,16.0,16.0,16.0,1.0
2019-05-04 02:30:00,16.135,16.135,16.135,16.135,0.4
2019-05-04 11:20:00,17.0,19.0,19.0,17.0,3.4
2019-05-04 11:25:00,19.0,11.11,19.979,11.11,8.99
2019-05-04 13:05:00,19.0,19.0,19.0,19.0,1.0
2019-05-04 23:40:00,15.0,16.0,16.0,15.0,2.0
2019-05-04 23:45:00,16.2,16.2,16.2,16.2,8.0
2019-05-04 23:50:00,16.242,16.242,16.242,16.242,2.0
2019-05-06 01:15:00,16.5,16.5,16.6,16.5,8.47071146
2019-05-09 13:10:00,16.0,16.0,16.0,16.0,1.1808731
2019-05-11 07:55:00,23.4,23.4,23.4,23.4,0.4
2019-05-11 08:00:00,27.181,11.11,28.0,11.11,14.47075916
2019-05-11 08:15:00,11.633,11.633,11.633,11.633,3.82738026
2019-05-11 11:00:00,22.026,22.8,22.8,22.026,4.8297255
2019-05-12 12:00:00,26.984,26.984,26.984,26.984,0.95457778
2019-05-14 14:20:00,26.984,26.984,26.984,26.984,5.0
2019-05-16 04:40:00,15.113,15.113,15.113,15.113,9.89130482
2019-05-20 11:05:00,26.2,26.2,26.2,26.2,0.2
2019-05-22 00:50:00,22.0,22.0,22.0,22.0,0.20796
2019-05-22 06:10:00,20.482,20.482,20.482,20.482,0.2
2019-05-22 20:25:00,20.756,20.756,20.756,20.756,2.71705014
2019-05-23 06:15:00,20.124,20.124,20.124,20.124,0.3
2019-05-24 05:30:00,21.0,21.0,21.0,21.0,0.2
2019-05-26 21:25:00,23.075,23.075,23.075,23.075,0.9506769
2019-05-27 21:00:00,13.6,13.6,13.6,13.6,0.23215031
2019-05-29 18:30:00,22.6,22.6,22.6,22.6,0.23168601
2019-05-30 06:10:00,26.0,26.0,26.0,26.0,1.2000000000000002
2019-05-31 23:55:00,13.9,13.9,13.9,13.9,0.45114727
2019-06-03 00:55:00,23.0,25.0,25.0,23.0,1.75024498
2019-06-03 16:10:00,26.0,26.0,26.0,26.0,1.20113332
2019-06-03 16:40:00,26.0,26.0,26.0,26.0,0.80411866
2019-06-03 17:15:00,23.344,23.32,23.344,23.32,4.3972107099999995
2019-06-03 17:20:00,22.0,25.0,25.0,22.0,4.28923177
2019-06-03 17:25:00,15.0,16.0,25.0,15.0,6.94556624
2019-06-03 18:00:00,24.0,17.0,24.0,16.12,12.14304203
2019-06-03 18:05:00,22.0,22.0,22.0,22.0,1.85590054
2019-06-03 18:10:00,17.128,17.8,23.0,17.128,9.33613892
2019-06-03 18:15:00,22.999,17.138,22.999,17.138,9.21583346
2019-06-03 18:50:00,21.97,26.0,26.0,21.97,7.78491075
2019-06-03 23:40:00,26.0,26.0,26.0,26.0,0.51042286
2019-06-04 17:10:00,26.0,26.0,26.0,26.0,0.49364903
2019-06-05 07:00:00,13.96,13.96,13.96,13.96,0.23
2019-06-05 10:10:00,22.0,22.0,22.0,22.0,0.22954
2019-06-08 14:30:00,22.558,22.552,22.558,22.552,4.72660939
2019-06-08 18:40:00,22.385,22.385,22.385,22.385,11.99433589
2019-06-09 01:30:00,22.136,22.136,22.136,22.136,0.2
2019-06-09 23:10:00,22.278,22.278,22.278,22.278,0.2
2019-06-10 19:55:00,32.999,32.999,32.999,32.999,0.41
2019-06-13 08:25:00,14.38,14.38,14.38,14.38,0.21956
2019-06-14 01:40:00,22.1,22.1,22.1,22.1,0.41912088
2019-06-15 10:40:00,32.999,32.999,32.999,32.999,0.46530303
2019-06-15 21:50:00,23.854,23.854,23.854,23.854,0.2
2019-06-16 17:00:00,23.972,23.972,23.972,23.972,0.2
2019-06-16 22:30:00,24.258,24.258,24.258,24.258,0.2
2019-06-17 00:10:00,23.783,23.783,23.783,23.783,1.21952655
2019-06-18 22:45:00,24.025,24.025,24.025,24.025,1.6812743700000001
2019-06-18 23:40:00,24.001,24.001,24.001,24.001,0.2
2019-06-18 23:50:00,24.001,24.001,24.001,24.001,0.2
2019-06-19 01:50:00,24.001,24.001,24.001,24.001,0.2
2019-06-21 06:00:00,24.0,24.0,24.0,24.0,0.0436275
2019-06-23 20:15:00,31.999,31.999,31.999,31.999,0.2
2019-06-25 11:50:00,24.201,24.2,24.201,24.2,0.61
2019-06-25 19:30:00,24.199,24.199,24.199,24.199,0.2
2019-06-28 14:30:00,22.0,22.0,22.0,22.0,0.9983
2019-06-28 14:50:00,24.199,24.2,24.2,24.199,1.0
2019-07-01 11:05:00,22.0,22.0,22.0,22.0,0.2
2019-07-02 08:10:00,20.8,20.8,20.8,20.8,0.2
2019-07-03 21:25:00,24.199,24.2,24.2,24.199,0.8812144799999999
2019-07-03 21:30:00,18.232,18.232,18.232,18.232,0.87945205
2019-07-03 23:10:00,28.0,28.0,28.0,28.0,1.0709609
2019-07-04 01:20:00,27.0,29.0,31.731,22.0,6.7429026400000005
2019-07-04 01:25:00,23.0,31.0,31.699,23.0,25.922
2019-07-04 01:30:00,23.0,29.0,31.699,23.0,24.1661209
2019-07-04 01:35:00,24.01,24.01,24.01,24.01,0.6271359
2019-07-04 23:55:00,23.9,23.9,23.9,23.9,0.38213885
2019-07-05 00:20:00,20.0,20.0,20.0,20.0,0.01786115
2019-07-10 14:10:00,27.971,28.0,28.0,27.971,10.0
2019-07-10 14:15:00,29.5,14.699,30.0,9.85,32.29498532
2019-07-11 01:20:00,21.0,21.0,21.0,21.0,1.0978
2019-07-11 04:20:00,21.0,21.0,21.0,21.0,0.21938776
2019-07-11 16:05:00,20.9,20.9,20.9,20.9,0.28061224
2019-07-12 18:35:00,19.001,19.001,19.001,19.001,0.2
2019-07-15 00:05:00,15.001,15.001,15.001,15.001,2.630235
2019-07-27 00:25:00,17.6,17.6,17.6,17.6,0.6
2019-07-27 20:20:00,17.0,17.0,17.0,17.0,0.5
2019-07-29 22:40:00,18.0,18.0,18.0,18.0,0.5
2019-08-04 13:40:00,18.5,27.88,27.88,18.5,1.0
2019-08-05 21:25:00,25.9,33.0,33.0,25.9,25.7897394
2019-08-05 21:30:00,33.0,28.1,97.99,15.016,133.17916305
2019-08-05 21:35:00,28.1,66.0,72.0,15.0,137.54572838
2019-08-05 21:40:00,66.0,54.0,67.0,18.0,108.809
2019-08-05 21:45:00,49.0,18.0,49.0,18.0,10.5797819
2019-08-05 21:55:00,18.51,18.51,18.51,18.51,1.37834179
2019-08-05 23:00:00,24.0,28.029,40.668,24.0,7.30993138
2019-08-05 23:05:00,21.563,22.0,22.023,21.563,5.673400829999999
2019-08-06 14:50:00,22.023,22.0,22.023,22.0,0.973254
2019-08-10 15:15:00,18.891,18.891,18.891,18.891,2.70132039
2019-08-10 16:15:00,18.847,18.847,18.847,18.847,0.3650394
2019-08-10 16:45:00,18.789,18.789,18.789,18.789,0.52702413
2019-08-11 09:20:00,18.921,18.921,18.921,18.921,0.2
2019-08-11 15:50:00,18.82,18.82,18.82,18.82,0.84194271
2019-08-12 02:50:00,18.919,18.919,18.919,18.919,2.28740303
2019-08-12 03:20:00,18.531,18.51,18.55,18.51,3.24980667
2019-08-12 03:25:00,18.51,18.51,18.51,18.51,1.48557894
2019-08-12 07:40:00,23.873,23.873,23.873,23.873,0.2
2019-08-12 12:25:00,18.51,18.02,18.51,18.02,9.87025612
2019-08-15 04:25:00,15.0,15.0,15.0,15.0,3.10647502
2019-08-15 06:25:00,14.68,14.68,14.68,14.68,0.74296175
2019-08-15 08:05:00,15.27,15.27,15.27,15.27,0.2
2019-08-15 08:15:00,15.27,15.27,15.27,15.27,1.0
2019-08-16 07:00:00,14.993,14.993,14.993,14.993,1.99562846
2019-08-16 07:10:00,14.91,14.91,14.91,14.91,0.2
2019-08-17 11:35:00,14.909,14.909,14.909,14.909,1.9510283
2019-08-17 17:10:00,14.909,14.909,14.909,14.909,1.63024324
2019-08-18 15:20:00,15.0,15.0,15.0,15.0,3.81841454
2019-08-18 18:00:00,14.696,14.696,14.696,14.696,0.2
2019-08-18 18:05:00,16.0,16.0,16.0,16.0,0.2
2019-08-18 18:10:00,16.0,16.0,16.0,16.0,0.2
2019-08-18 23:15:00,14.696,14.68,14.696,14.68,3.80852927
2019-08-19 06:00:00,14.696,14.68,14.696,14.68,1.01001085
2019-08-21 10:35:00,12.395,12.395,12.395,12.395,0.2
2019-08-21 10:40:00,12.395,12.721,12.819,12.395,1.9477462
2019-08-31 09:25:00,13.784,13.784,13.784,13.784,7.49825
2019-09-02 15:00:00,12.834,12.834,12.834,12.834,0.96949843
2019-09-02 15:35:00,13.495,13.495,13.495,13.495,0.99625
2019-09-10 17:15:00,14.997,14.997,14.997,14.997,0.4411055
2019-09-11 06:30:00,14.247,14.25,14.25,14.247,8.542235
2019-09-12 15:45:00,14.25,14.25,14.25,14.25,3.76712725
2019-09-12 21:05:00,14.247,14.25,14.25,14.247,6.83430925
2019-09-12 21:20:00,14.25,14.25,14.25,14.25,10.6535588
2019-09-12 21:35:00,14.25,14.25,14.25,14.25,8.72556717
2019-09-17 04:15:00,15.47,15.47,15.47,15.47,0.2785366
2019-09-24 11:40:00,23.44,23.44,23.44,23.44,1.0
2019-10-03 01:50:00,12.805,14.253,14.373,12.395,69.47324755
2019-10-03 02:00:00,14.782,14.782,14.782,14.782,1.01057179
2019-10-03 02:20:00,12.419,13.932,14.343,4.0318,443.16795071
2019-10-04 15:40:00,15.0,15.0,15.0,15.0,1.0
2019-10-04 20:25:00,13.618,14.003,14.003,13.618,2.0
2019-10-19 19:50:00,15.809,15.809,15.809,15.809,0.2
2019-10-24 05:15:00,14.336,14.336,14.336,14.336,11.6489
2019-10-25 17:05:00,16.074,16.074,16.074,16.074,1.79819998
2019-10-26 01:40:00,16.499,16.5,16.5,16.499,10.68164266
2019-10-28 18:20:00,6.2531,6.2531,6.2531,6.2531,0.201596
2019-10-29 23:00:00,16.617,16.617,16.617,16.617,0.20130363
2019-11-06 21:55:00,17.777,7.2655,17.777,7.21,12.443009
2019-11-06 22:00:00,15.609,16.289,16.289,14.846,44.624147
2019-11-06 22:05:00,15.0,15.0,15.0,15.0,0.2
2019-11-06 22:15:00,15.0,16.126,16.126,15.0,21.96
2019-11-06 22:35:00,15.3,15.3,15.3,15.3,0.2
2019-11-10 13:50:00,16.683,20.23,20.23,16.683,23.88733052
2019-11-10 13:55:00,20.23,20.0,20.997,20.0,105.0
2019-11-10 14:10:00,21.0,21.0,21.0,21.0,24.97
2019-11-10 14:15:00,9.7975,15.131,15.25,9.7975,169.385
2019-11-10 14:20:00,15.33,23.868,23.868,14.652,5.14114321
2019-11-10 14:25:00,23.868,17.0,45.0,17.0,48.326992
2019-11-10 14:30:00,42.0,50.0,50.0,39.5,116.65368741
2019-11-10 14:35:00,82.0,82.0,82.0,82.0,0.2
2019-11-10 14:40:00,79.0,82.0,82.0,79.0,115.757163
2019-11-10 14:45:00,32.001,32.001,32.001,32.001,0.4897276
2019-11-10 14:50:00,29.0,19.53,30.0,19.53,32.2372224
2019-11-10 14:55:00,18.07,28.0,28.0,18.0,24.01346
2019-11-10 15:00:00,19.786,19.0,19.786,19.0,11.26896326
2019-11-10 15:05:00,18.181,19.5,77.0,18.0,204.09504906
2019-11-10 15:10:00,20.0,64.0,65.0,19.5,387.51755928
2019-11-10 15:15:00,23.0,21.2,23.0,21.2,32.733042
2019-11-10 15:20:00,44.0,22.0,44.0,22.0,198.17048499999999
2019-11-10 15:25:00,21.0,18.1,21.0,18.1,187.462751
2019-11-10 15:50:00,15.0,15.116,15.116,15.0,10.0
2019-11-10 16:20:00,15.59,15.59,15.59,15.59,2.00000032
2019-11-10 16:25:00,15.595,15.595,15.595,15.595,1.0
2019-11-10 16:30:00,15.595,15.595,15.595,15.595,1.0
2019-11-10 16:35:00,15.595,15.595,15.595,15.595,1.0
2019-11-10 16:45:00,15.31,15.31,15.31,15.31,5.0
2019-11-10 18:00:00,15.9,15.9,15.9,15.9,10.9792311
2019-11-11 08:50:00,15.901,15.901,15.901,15.901,0.334035
2019-11-11 09:45:00,15.902,15.902,15.902,15.902,1.13361209
2019-11-11 10:45:00,15.9,15.9,15.9,15.9,14.10237516
2019-11-11 11:05:00,15.9,15.9,15.9,15.9,7.355942
2019-11-11 11:35:00,15.9,15.9,15.9,15.9,0.97139875
2019-11-11 14:10:00,15.9,15.9,15.9,15.9,13.49647928
2019-11-11 14:50:00,15.9,15.9,15.9,15.9,0.62121
2019-11-11 15:45:00,15.9,15.9,15.9,15.9,2.0
2019-11-12 12:55:00,14.0,14.0,14.0,14.0,5.0
2019-11-12 13:00:00,14.1,14.1,14.1,14.1,12.84355996
2019-11-12 18:10:00,15.5,15.5,15.5,15.5,69.2555
2019-11-12 18:15:00,15.5,15.5,15.5,15.5,2.488885
2019-11-12 18:30:00,15.497,15.497,15.497,15.497,5.3225
2019-11-12 19:20:00,15.496,15.497,15.497,15.496,10.6536
